Freq(Hz),Sdd11(mag),Sdd11(phase),Sdd12(mag),Sdd12(phase),Sdd21(mag),Sdd21(phase),Sdd22(mag),Sdd22(phase)
3.69E+08,-23.95905,134.11516,-47.36401,128.44548,23.87478,135.32829,-16.71576,-47.47113
3.75E+08,-23.33075,127.25424,-54.69687,-20.96017,23.89822,134.33354,-16.23872,-45.45266
3.81E+08,-23.92433,122.02248,-51.99791,158.41469,23.90901,133.68874,-16.26561,-47.17756
3.87E+08,-23.11649,129.11975,-57.85046,113.77215,23.88526,133.07202,-16.19687,-49.09144
3.93E+08,-24.05601,137.49898,-43.20992,131.41502,23.87814,132.22662,-15.91799,-49.77312
3.99E+08,-23.84525,121.45058,-39.83137,5.38465,23.92221,131.49245,-16.67377,-52.63779
4.05E+08,-24.41898,129.18063,-47.11776,-46.9283,23.91379,130.82224,-16.60615,-53.05873
4.11E+08,-23.91614,115.81594,-50.10879,21.39511,23.9205,129.8951,-16.74932,-50.16386
4.17E+08,-23.07707,120.38778,-51.39148,92.46757,23.93228,129.2691,-16.78022,-55.65535
4.23E+08,-23.81734,118.90119,-46.4612,146.42044,23.9052,128.55807,-16.12026,-53.298
4.29E+08,-24.55591,125.34456,-44.12452,-130.6523,23.91057,127.63199,-15.97581,-58.14695
4.35E+08,-22.94981,116.28878,-42.74337,-142.01404,23.89495,126.89661,-15.92013,-60.10726
4.41E+08,-23.5512,112.98593,-49.54887,-2.57358,23.94692,126.09736,-16.93289,-58.26624
4.47E+08,-23.01676,111.82794,-49.78511,-55.65617,23.92271,125.19482,-16.69557,-59.42184
4.53E+08,-24.71874,110.51642,-43.88119,-167.70537,23.92263,124.39423,-16.02181,-58.15214
4.59E+08,-24.96692,118.26641,-62.77377,132.06921,23.94559,123.57068,-16.50164,-57.16849
4.65E+08,-23.29821,115.61375,-59.45838,-21.48296,23.91594,123.04854,-16.21896,-58.70095
4.71E+08,-23.67952,113.85145,-53.47776,109.9138,23.92109,122.24445,-16.2443,-58.84063
4.77E+08,-24.32152,115.94351,-44.26916,-96.94066,23.91495,121.57455,-16.09648,-64.16943
4.83E+08,-25.35979,114.71066,-46.4612,-133.22116,23.90818,120.88923,-15.67954,-62.4209
