Freq (Hz),NF (dB)
10000000,21.77444919
15990000,19.93237327
21980000,22.85058407
27970000,24.61054842
33960000,25.84295671
39950000,25.30644732
45940000,24.9770779
51930000,24.40834906
57920000,24.08311639
63910000,23.33722077
69900000,23.0394537
75890000,22.52228206
81880000,22.29905479
87870000,22.2955858
93860000,21.75145096
99850000,19.93276786
105840000,19.27821192
111830000,19.2000328
117820000,19.18767119
123810000,19.25630352
129800000,19.02742157
135790000,18.86462896
141780000,18.8174106
147770000,18.64394917
153760000,18.45901422
159750000,17.90612412
165740000,17.01102179
171730000,16.87611677
177720000,17.06784698
183710000,17.18469105
189700000,17.14617009
195690000,17.01860608
201680000,17.18406689
207670000,17.23992968
213660000,17.19474373
219650000,17.00679523
225640000,16.60117991
231630000,16.13381023
237620000,16.0591891
243610000,16.62983159
249600000,16.86083929
255590000,16.98093293
261580000,17.08922562
267570000,17.01224112
273560000,17.08647523
279550000,16.91411691
285540000,16.7589814
291530000,16.57805549
297520000,16.3062606
303510000,17.4250336
309500000,18.65561842
315490000,19.15459885
321480000,19.17208807
327470000,19.21112058
333460000,19.0925023
339450000,19.29369662
345440000,19.27903991
351430000,19.41873043
357420000,19.90294438
363410000,19.11748583
369400000,17.93016533
375390000,17.41160666
381380000,17.05098745
387370000,16.91693
393360000,16.68570028
399350000,16.43705091
405340000,16.29027328
411330000,16.03431808
417320000,15.94755638
423310000,15.78791547
429300000,15.68224741
435290000,15.6334268
441280000,15.52989131
447270000,15.54503118
453260000,15.5630643
459250000,15.42614823
465240000,15.20746444
471230000,15.30590556
477220000,15.15795919
483210000,15.16202981
489200000,15.21314587
495190000,15.25516086
501180000,15.34440722
507170000,15.51389264
513160000,15.63018847
519150000,15.84144476
525140000,15.78472911
531130000,15.69997716
537120000,15.67556823
543110000,15.59935588
549100000,15.80200555
555090000,15.61028163
561080000,15.55796715
567070000,15.24720927
573060000,15.16227464
579050000,15.11256912
585040000,15.28106545
591030000,15.16608162
597020000,15.35710385
603010000,15.26694766
609000000,15.25612943
614990000,15.13312492
620980000,15.09652571
626970000,15.08706817
632960000,15.01107859
638950000,15.03927011
644940000,15.09732874
650930000,15.28407139
656920000,15.37707409
662910000,15.31438399
668900000,15.15822368
674890000,15.09333998
680880000,15.11461318
686870000,14.99526263
692860000,15.1002616
698850000,15.19459813
704840000,15.33111729
710830000,15.47591469
716820000,15.33979336
722810000,15.27999057
728800000,15.16127989
734790000,15.1543016
740780000,15.07938816
746770000,15.07236586
752760000,15.12890478
758750000,15.19594332
764740000,15.2051796
770730000,15.34227476
776720000,15.22512661
782710000,15.26502018
788700000,15.1415997
794690000,15.07107449
800680000,15.09617531
806670000,15.08164773
812660000,15.07247098
818650000,15.17261771
824640000,15.2922806
830630000,15.13688885
836620000,14.99948761
842610000,15.01559821
848600000,15.00518355
854590000,14.9675601
860580000,14.97165991
866570000,15.0412399
872560000,15.14250537
878550000,15.7582174
884540000,15.04782921
890530000,14.86781353
896520000,14.85593417
902510000,14.75636605
908500000,14.83423837
914490000,14.81947312
920480000,14.90228846
926470000,14.77969147
932460000,14.82100694
938450000,14.84326641
944440000,14.85935877
950430000,14.91084123
956420000,14.91199963
962410000,14.92961174
968400000,14.74835908
974390000,14.84484735
980380000,15.0840077
986370000,15.19181911
992360000,14.72452603
998350000,14.77665594
1004340000,14.62602837
1010330000,14.76611797
1016320000,14.7549954
1022310000,14.73851016
1028300000,14.77802579
1034290000,14.74825489
1040280000,14.79136216
1046270000,14.80660639
1052260000,14.81536708
1058250000,14.8411198
1064240000,14.80390379
1070230000,14.77868817
1076220000,14.7996748
1082210000,14.84480966
1088200000,14.84355849
1094190000,14.87139904
1100180000,14.82757715
1106170000,14.85722042
1112160000,14.83096682
1118150000,14.97360328
1124140000,14.84357978
1130130000,14.85798778
1136120000,14.9340071
1142110000,14.88783376
1148100000,14.92399458
1154090000,14.90130259
1160080000,14.90008563
1166070000,14.96902939
1172060000,14.9268428
1178050000,14.9371398
1184040000,14.9244872
1190030000,14.91973689
1196020000,14.89391678
1202010000,14.92731938
1208000000,14.87278922
1213990000,14.90987098
1219980000,14.93819547
1225970000,14.92272739
1231960000,14.846177
1237950000,14.92367534
1243940000,14.84981434
1249930000,14.92885159
1255920000,14.93792089
1261910000,14.99216089
1267900000,14.94919823
1273890000,14.98442637
1279880000,14.91949623
1285870000,15.32492331
1291860000,14.91205709
1297850000,14.87301387
1303840000,14.93962855
1309830000,14.8602922
1315820000,14.89469631
1321810000,14.92356523
1327800000,15.05090968
1333790000,14.95570078
1339780000,14.92999725
1345770000,15.01207091
1351760000,14.95032546
1357750000,15.00961921
1363740000,14.90350403
1369730000,14.8797306
1375720000,14.77994808
1381710000,14.86966112
1387700000,14.9282978
1393690000,14.84541899
1399680000,14.83666892
1405670000,14.85716195
1411660000,14.89192461
1417650000,14.81984766
1423640000,14.87401682
1429630000,14.75087767
1435620000,15.61275679
1441610000,14.85209912
1447600000,14.80717116
1453590000,14.83883889
1459580000,14.80589415
1465570000,14.88306064
1471560000,14.84856647
1477550000,14.96112165
1483540000,14.93497487
1489530000,14.86296863
1495520000,14.92035834
1501510000,14.81577781
1507500000,14.83404643
1513490000,14.84823045
1519480000,14.88755329
1525470000,14.92340618
1531460000,14.86296996
1537450000,14.9480947
1543440000,14.98914127
1549430000,14.95392702
1555420000,15.01983256
1561410000,14.96349696
1567400000,14.99669569
1573390000,15.01532978
1579380000,14.93224464
1585370000,15.03219784
1591360000,14.90190039
1597350000,14.93938798
1603340000,14.85360861
1609330000,15.04039035
1615320000,14.97556197
1621310000,14.85585332
1627300000,15.00594716
1633290000,14.96962748
1639280000,15.02941445
1645270000,15.06918042
1651260000,15.05670411
1657250000,15.12296698
1663240000,15.0863548
1669230000,15.05772311
1675220000,15.14646879
1681210000,15.03225182
1687200000,15.06692328
1693190000,15.08303282
1699180000,15.01420602
1705170000,15.06680195
1711160000,15.06553382
1717150000,15.04540855
1723140000,15.03609034
1729130000,15.02778784
1735120000,15.0202464
1741110000,15.01271466
1747100000,15.11123546
1753090000,15.05011552
1759080000,15.05916076
1765070000,15.06457104
1771060000,15.10186675
1777050000,15.06359853
1783040000,15.06762521
1789030000,15.10838224
1795020000,15.06382357
1801010000,14.9638331
1807000000,19.07576691
1812990000,19.58664944
1818980000,15.80835043
1824970000,15.63940385
1830960000,18.75980026
1836950000,18.3107403
1842940000,19.16646242
1848930000,18.23372303
1854920000,15.02478485
1860910000,18.29177487
1866900000,17.76412786
1872890000,20.29076215
1878880000,19.83995698
1884870000,15.03195469
1890860000,15.0147844
1896850000,15.00547961
1902840000,14.9233613
1908830000,15.02635104
1914820000,15.06265544
1920810000,14.92982637
1926800000,15.01896772
1932790000,14.99978839
1938780000,15.09530864
1944770000,15.08646426
1950760000,15.11773735
1956750000,15.02036238
1962740000,15.0735659
1968730000,15.37135032
1974720000,15.11274118
1980710000,15.09906077
1986700000,15.10456255
1992690000,15.18606011
1998680000,15.12936357
2004670000,15.13613473
2010660000,15.07280256
2016650000,15.10796901
2022640000,15.17124258
2028630000,15.10627968
2034620000,15.11037248
2040610000,15.15473659
2046600000,15.13797103
2052590000,15.13159522
2058580000,15.0906108
2064570000,15.14133297
2070560000,15.24145166
2076550000,15.07232552
2082540000,15.17859254
2088530000,15.28103409
2094520000,15.18076623
2100510000,15.2461757
2106500000,15.19096338
2112490000,15.62131989
2118480000,15.34905936
2124470000,15.90370944
2130460000,15.33741106
2136450000,15.93893768
2142440000,16.67598275
2148430000,16.41842694
2154420000,15.79172709
2160410000,15.87290747
2166400000,15.35940821
2172390000,15.17433418
2178380000,15.21759203
2184370000,15.22709848
2190360000,15.1929929
2196350000,15.26064891
2202340000,15.25327507
2208330000,15.24810432
2214320000,15.23635503
2220310000,15.28350604
2226300000,15.23498548
2232290000,15.19895409
2238280000,15.20758592
2244270000,15.15102109
2250260000,15.1909404
2256250000,15.15499608
2262240000,15.19637841
2268230000,15.24098687
2274220000,15.28816483
2280210000,15.18006947
2286200000,15.21667906
2292190000,15.25374893
2298180000,15.27336279
2304170000,15.25149533
2310160000,15.24631062
2316150000,15.24265983
2322140000,15.27984435
2328130000,15.33709792
2334120000,15.31329856
2340110000,15.2551643
2346100000,15.2735269
2352090000,15.26106513
2358080000,15.35254788
2364070000,15.33445206
2370060000,15.24069498
2376050000,15.33530583
2382040000,15.32566827
2388030000,15.32894058
2394020000,15.40092736
2400010000,15.65040334
2406000000,15.44572748
2411990000,15.48083422
2417980000,15.46943909
2423970000,15.42560796
2429960000,16.11837199
2435950000,15.33704057
2441940000,15.9817927
2447930000,15.35224541
2453920000,15.89147253
2459910000,15.71563514
2465900000,15.65842419
2471890000,15.54785712
2477880000,15.45925896
2483870000,15.49109795
2489860000,15.46083503
2495850000,15.47256836
2501840000,15.53504852
2507830000,15.49549137
2513820000,15.49361614
2519810000,15.60846771
2525800000,15.63183781
2531790000,15.47656465
2537780000,15.57512745
2543770000,15.64979399
2549760000,15.56217926
2555750000,15.57733601
2561740000,15.68130829
2567730000,15.57599366
2573720000,15.57016731
2579710000,15.6323348
2585700000,15.59533051
2591690000,15.67492755
2597680000,15.54582391
2603670000,15.63159438
2609660000,15.58064819
2615650000,15.5601402
2621640000,15.62350873
2627630000,15.58103414
2633620000,15.56713884
2639610000,15.61619199
2645600000,15.58829038
2651590000,15.52098015
2657580000,15.5528529
2663570000,15.64104235
2669560000,15.6378403
2675550000,15.60522656
2681540000,15.56170349
2687530000,15.60993231
2693520000,15.59012606
2699510000,15.61331625
2705500000,15.63548792
2711490000,15.65368321
2717480000,15.66096447
2723470000,15.65771638
2729460000,15.59581607
2735450000,15.56572846
2741440000,15.71435204
2747430000,15.70943302
2753420000,15.71619264
2759410000,15.60873081
2765400000,15.88986904
2771390000,15.75284897
2777380000,15.68647452
2783370000,15.7466875
2789360000,15.70181074
2795350000,15.78927531
2801340000,15.81875404
2807330000,15.79089392
2813320000,15.72885615
2819310000,15.82536366
2825300000,15.79516226
2831290000,15.84035355
2837280000,15.96442545
2843270000,15.81508221
2849260000,15.95633039
2855250000,15.91061725
2861240000,15.97879423
2867230000,15.93093479
2873220000,16.03195758
2879210000,15.90355032
2885200000,15.96424688
2891190000,15.93833534
2897180000,15.99718374
2903170000,15.96851466
2909160000,16.04142189
2915150000,16.06932213
2921140000,16.04178002
2927130000,16.04673254
2933120000,16.03773075
2939110000,16.06012091
2945100000,16.03862351
2951090000,16.06992833
2957080000,16.2331577
2963070000,16.10090788
2969060000,16.04271424
2975050000,16.03157908
2981040000,16.10144314
2987030000,16.04952932
2993020000,16.08585441
2999010000,16.11374159
3005000000,16.00578808
3010990000,16.07176959
3016980000,16.02197334
3022970000,16.04460625
3028960000,16.02695598
3034950000,16.04127226
3040940000,15.95744236
3046930000,16.18424142
3052920000,16.12789543
3058910000,16.03469589
3064900000,16.08501033
3070890000,16.09668646
3076880000,16.05945312
3082870000,16.10499761
3088860000,16.11593163
3094850000,16.09944367
3100840000,16.05882273
3106830000,16.08113958
3112820000,16.11872551
3118810000,16.07202518
3124800000,16.06948903
3130790000,16.05528019
3136780000,16.09965683
3142770000,16.06701101
3148760000,16.07621077
3154750000,16.11021453
3160740000,16.00749645
3166730000,16.09147545
3172720000,16.08840125
3178710000,16.05484055
3184700000,16.13900408
3190690000,15.98579409
3196680000,16.09452407
3202670000,16.15430645
3208660000,16.07157201
3214650000,16.14042508
3220640000,16.06466545
3226630000,16.09110887
3232620000,16.16297632
3238610000,16.25479578
3244600000,16.14521462
3250590000,16.1780949
3256580000,16.15608016
3262570000,16.19410359
3268560000,16.28469116
3274550000,16.26397069
3280540000,16.28574651
3286530000,16.23875835
3292520000,16.17404247
3298510000,16.29306662
3304500000,16.3162854
3310490000,16.31454165
3316480000,16.38887572
3322470000,16.35298453
3328460000,16.42590684
3334450000,16.34203229
3340440000,16.32902563
3346430000,16.44919477
3352420000,16.4029352
3358410000,16.4298206
3364400000,16.45132139
3370390000,16.38872998
3376380000,16.45279434
3382370000,16.38330988
3388360000,16.47642033
3394350000,16.51003366
3400340000,16.45224705
3406330000,16.47542301
3412320000,16.60113385
3418310000,16.50817814
3424300000,16.55378229
3430290000,16.51790363
3436280000,16.49945062
3442270000,16.66861502
3448260000,16.59829975
3454250000,16.58077364
3460240000,16.47479792
3466230000,16.52710138
3472220000,16.49635907
3478210000,16.56238133
3484200000,16.47722668
3490190000,16.4336193
3496180000,16.49077809
3502170000,16.49649045
3508160000,16.56717108
3514150000,16.75802983
3520140000,16.4932314
3526130000,16.48512095
3532120000,16.4597181
3538110000,16.28903607
3544100000,16.41912445
3550090000,16.41040546
3556080000,16.49781772
3562070000,16.40650379
3568060000,16.40539995
3574050000,16.48214515
3580040000,16.76693468
3586030000,16.56150942
3592020000,16.12216787
3598010000,16.37195542
3604000000,16.39052516
3609990000,16.35396121
3615980000,16.40321629
3621970000,16.43541064
3627960000,16.32400046
3633950000,16.41454708
3639940000,16.43476523
3645930000,16.30453546
3651920000,16.38376959
3657910000,16.3738247
3663900000,16.41350699
3669890000,16.40562948
3675880000,16.39067352
3681870000,16.4071531
3687860000,16.48292098
3693850000,16.44285653
3699840000,16.49261669
3705830000,16.38895802
3711820000,16.53949502
3717810000,16.43205904
3723800000,16.3781321
3729790000,16.42358014
3735780000,16.41457236
3741770000,16.45315296
3747760000,16.46191738
3753750000,16.44933101
3759740000,16.5548082
3765730000,16.60271597
3771720000,16.55706068
3777710000,16.56490339
3783700000,16.57080572
3789690000,16.62548584
3795680000,16.60315245
3801670000,16.59847136
3807660000,16.63251403
3813650000,16.69813905
3819640000,16.75177067
3825630000,16.66569747
3831620000,16.67526362
3837610000,16.79490093
3843600000,16.72038224
3849590000,16.77859456
3855580000,16.8209111
3861570000,16.8037286
3867560000,16.86914405
3873550000,16.84028426
