Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
1.50E+09,-33.73439,-150.24196,-13.44799,31.4438,-13.38209,28.29369,-17.78911,108.88541
1.51E+09,-38.07487,-163.30823,-13.44041,29.06581,-13.60005,26.19637,-17.35897,110.52762
1.51E+09,-39.22037,-171.89433,-13.3511,26.22327,-13.72657,24.15898,-17.87076,107.66084
1.52E+09,-35.48982,-160.85602,-13.36464,22.95736,-13.57961,21.07844,-17.39001,107.94685
1.53E+09,-41.96109,166.8363,-13.46988,20.20874,-13.88857,18.11594,-17.36703,105.94778
1.53E+09,-40.47447,-174.48859,-13.43703,18.32547,-13.6138,15.19054,-17.54662,108.15806
1.54E+09,-44.61537,-154.94675,-13.31292,15.21519,-13.66779,13.30257,-17.4389,103.82864
1.54E+09,-52.14885,-177.59474,-13.30963,12.19566,-13.57542,10.48526,-17.37606,103.09995
1.55E+09,-44.68742,-28.52367,-13.31883,9.29746,-13.5944,6.88553,-17.31099,104.93781
1.56E+09,-44.85393,28.72962,-13.5034,6.31401,-13.68604,4.26422,-16.84977,102.30964
1.56E+09,-42.76085,19.98571,-13.45265,3.36343,-13.77994,1.60862,-16.71671,100.38728
1.57E+09,-44.32119,-19.02144,-13.3492,1.77987,-13.61143,-1.93883,-16.87595,100.04003
1.57E+09,-42.2661,-14.96995,-13.32366,-1.69021,-13.83036,-3.6078,-17.02755,100.0853
1.58E+09,-37.98282,15.47912,-13.304,-4.95403,-13.77043,-7.27018,-17.84404,97.91686
1.59E+09,-35.24487,-23.31659,-13.20601,-6.68697,-13.59724,-10.02606,-17.17584,100.59186
1.59E+09,-33.83939,-24.25747,-13.50788,-10.03612,-13.66215,-11.00668,-17.34707,97.69038
1.60E+09,-32.51096,-29.01115,-13.26597,-12.71865,-13.85254,-13.92247,-16.90964,97.85054
1.60E+09,-31.96511,-25.3724,-13.1342,-15.4569,-13.69183,-16.43269,-17.19338,97.10781
1.61E+09,-32.62807,-35.72909,-13.33113,-19.30154,-13.59652,-19.58593,-17.34632,93.62388
1.62E+09,-30.30608,-28.86931,-13.41284,-21.6085,-13.88149,-22.71581,-17.30843,92.94512
1.62E+09,-29.81513,-35.52896,-13.31822,-23.06336,-13.68652,-25.72534,-17.37729,87.73535
1.63E+09,-29.91857,-33.47366,-13.39432,-27.01453,-13.58198,-27.10162,-17.09161,90.13001
1.63E+09,-28.90422,-34.78467,-13.64181,-28.37099,-13.70729,-31.62572,-17.08586,89.0157
1.64E+09,-27.76872,-43.93095,-13.38771,-31.98862,-13.72487,-34.03082,-17.10002,91.01918
1.65E+09,-27.67869,-45.76037,-13.35986,-34.41192,-13.62649,-37.83511,-17.00961,88.61274
1.65E+09,-27.74899,-45.94499,-13.24475,-37.1724,-13.6701,-39.02519,-16.77224,88.81583
1.66E+09,-27.04523,-47.96021,-13.50573,-40.22463,-13.74454,-41.08067,-17.37478,85.435
1.66E+09,-27.49132,-47.04845,-13.49671,-42.41569,-13.64057,-44.76343,-16.94654,84.434
1.67E+09,-26.58821,-47.54637,-13.40358,-45.50578,-13.74422,-46.17302,-17.36975,84.70171
1.68E+09,-26.78034,-63.75212,-13.20386,-47.60614,-13.73229,-49.56305,-17.16922,81.87022
1.68E+09,-25.73416,-58.90591,-13.53047,-50.66329,-13.63069,-53.51266,-17.03945,82.05173
1.69E+09,-26.3566,-60.13481,-13.46489,-54.3068,-13.83595,-55.14584,-17.01313,80.1823
1.69E+09,-26.34774,-69.28866,-13.39092,-56.55368,-13.68627,-59.02854,-17.29231,79.59202
1.70E+09,-24.33423,-67.30447,-13.32011,-60.03854,-13.66227,-60.24846,-16.91598,80.05209
1.71E+09,-24.61316,-74.31631,-13.2119,-63.23396,-13.56284,-64.18967,-16.79583,78.57805
1.71E+09,-24.77158,-67.31852,-13.38796,-65.27314,-13.87494,-65.27498,-16.60583,80.49707
1.72E+09,-23.91219,-79.33863,-13.36303,-67.73488,-13.7091,-68.63631,-17.20215,81.12082
1.72E+09,-23.82346,-73.10577,-13.44726,-70.30331,-13.72778,-71.40318,-16.90352,76.59216
1.73E+09,-23.6795,-80.12272,-13.44945,-73.49195,-13.91778,-73.89705,-16.94266,80.34909
1.74E+09,-23.47524,-77.74706,-13.30039,-76.29873,-13.82843,-77.7847,-16.96755,74.55638
1.74E+09,-23.20284,-83.76083,-13.47489,-78.57665,-13.72977,-80.40009,-16.93714,74.9458
1.75E+09,-23.48705,-88.5188,-13.5108,-79.93485,-13.6284,-82.64923,-17.06181,70.57642
1.75E+09,-23.48058,-88.5045,-13.42532,-84.69848,-13.88745,-86.35857,-17.6052,71.85413
1.76E+09,-23.21859,-87.44614,-13.42602,-87.60877,-13.72287,-89.80306,-16.89891,67.0748
1.77E+09,-23.3827,-92.50362,-13.47732,-91.95533,-13.76477,-92.0807,-16.89529,69.75671
1.77E+09,-23.37349,-97.21278,-13.43841,-92.90634,-13.74133,-94.27402,-16.80301,65.53192
1.78E+09,-23.58993,-90.83669,-13.38463,-96.06011,-13.81934,-97.28439,-16.55384,68.08336
1.78E+09,-24.00718,-100.74342,-13.42079,-98.77467,-13.90595,-100.49541,-16.67136,64.14057
1.79E+09,-23.46486,-103.12985,-13.55239,-101.74692,-13.81574,-102.17893,-16.30303,65.53097
1.80E+09,-23.75807,-106.45682,-13.39313,-104.86898,-13.83404,-105.0724,-16.64478,65.15698
1.80E+09,-22.80283,-107.57127,-13.65342,-105.65448,-13.8455,-108.91932,-16.93722,63.13852
1.81E+09,-23.75457,-110.91161,-13.31564,-108.96638,-13.61775,-111.01255,-16.81632,61.56855
1.81E+09,-22.90906,-116.73803,-13.56139,-113.08858,-13.63161,-112.43153,-17.32824,60.24663
1.82E+09,-22.92801,-115.79334,-13.48428,-114.25345,-13.9184,-117.24541,-16.64928,58.38641
1.82E+09,-22.35837,-120.15722,-13.3243,-116.03493,-13.74385,-119.55861,-16.72518,60.89644
1.83E+09,-23.06502,-120.55262,-13.44128,-120.4715,-13.68401,-122.4173,-16.90918,54.69951
1.84E+09,-22.98769,-126.55215,-13.44821,-123.88585,-13.79825,-124.41713,-16.82239,54.76109
1.84E+09,-24.14095,-121.15368,-13.52727,-127.1553,-14.01528,-126.92538,-16.99076,57.08971
1.85E+09,-24.28755,-127.75713,-13.34813,-129.09273,-13.8859,-128.77452,-16.53724,56.47206
1.85E+09,-24.21359,-133.51202,-13.5408,-132.36597,-13.87124,-133.46089,-16.67281,56.77029
1.86E+09,-23.79434,-130.97891,-13.51932,-134.15973,-13.76195,-135.7216,-16.84213,51.71381
1.87E+09,-24.10811,-126.67463,-13.35259,-137.93076,-13.96755,-138.81859,-16.81987,55.07079
1.87E+09,-23.87243,-136.46764,-13.38686,-140.10829,-13.92511,-140.23535,-17.07313,51.63615
1.88E+09,-23.71509,-141.00909,-13.38866,-142.80763,-14.00072,-144.00952,-16.60555,48.98761
1.88E+09,-24.09654,-137.44687,-13.38785,-145.29895,-13.96739,-146.90091,-17.17319,49.0619
1.89E+09,-24.225,-149.7076,-13.48464,-147.19792,-14.00387,-147.62733,-17.31077,48.10669
1.90E+09,-23.87486,-145.64148,-13.59016,-149.18831,-13.94896,-151.9044,-16.83775,46.69761
1.90E+09,-24.57937,-144.82695,-13.38366,-154.04289,-13.75663,-154.38202,-17.27765,42.90424
1.91E+09,-24.82617,-149.55344,-13.71351,-155.38994,-13.98268,-158.65269,-16.7084,43.98154
1.91E+09,-24.81274,-150.54843,-13.60839,-159.6568,-13.87721,-160.53304,-16.93346,42.0236
1.92E+09,-24.98534,-156.7523,-13.47408,-162.70091,-14.13504,-162.72798,-17.5383,40.19115
1.93E+09,-25.56529,-155.83714,-13.40394,-163.68729,-13.89308,-165.48636,-17.09262,42.47345
1.93E+09,-24.71956,-151.96341,-13.4723,-167.64349,-13.92839,-169.55293,-16.49914,41.73472
1.94E+09,-26.08608,-155.36243,-13.46168,-168.02916,-13.9451,-170.92471,-16.66548,40.74818
1.94E+09,-25.91498,-163.39137,-13.70043,-172.15665,-13.84224,-173.84518,-16.8263,39.73712
1.95E+09,-26.8509,-156.16971,-13.67294,-175.42763,-13.87965,-176.9594,-16.88377,39.34724
1.96E+09,-26.36409,-167.81247,-13.59086,-178.85246,-13.8077,-178.06406,-17.06351,39.01855
1.96E+09,-26.57445,-157.02559,-13.45004,178.08775,-13.99456,179.01428,-16.48074,39.45925
1.97E+09,-28.50615,-158.9754,-13.45721,177.34331,-13.98443,173.80663,-17.35436,34.68817
1.97E+09,-27.07442,-165.52065,-13.47134,174.9032,-13.93144,172.62117,-16.92141,33.4527
1.98E+09,-28.31032,-158.81172,-13.55259,172.32617,-13.83753,170.19595,-17.45396,35.10205
1.99E+09,-30.085,-164.19527,-13.62809,169.06047,-13.98253,167.29247,-17.13273,31.71249
1.99E+09,-28.58688,-165.82111,-13.50919,166.43819,-13.87736,164.18707,-16.57816,29.26601
2.00E+09,-29.83952,-171.99451,-13.74929,164.02869,-13.86547,162.40857,-17.09392,32.58174
2.00E+09,-29.99888,-166.85385,-13.55924,160.77321,-13.81868,159.68021,-16.468,31.87188
2.01E+09,-29.78319,-169.65967,-13.45922,156.71358,-13.99001,156.46625,-16.69773,28.92707
2.02E+09,-31.50866,-171.51756,-13.62584,155.92094,-14.09257,152.90411,-17.11118,30.53426
2.02E+09,-29.53923,-169.312,-13.68449,151.30055,-13.86126,150.84354,-16.7969,30.66957
2.03E+09,-31.3427,-167.44458,-13.46805,150.3291,-13.94343,147.86497,-17.01945,29.65291
2.03E+09,-29.64412,-166.76311,-13.62376,146.84833,-14.12988,146.405,-17.08956,30.29377
2.04E+09,-32.24009,-172.80379,-13.73282,144.78152,-14.01004,143.49051,-17.29633,23.6702
2.05E+09,-31.01564,-161.92354,-13.57956,140.8773,-13.75809,138.70952,-17.09118,22.57427
2.05E+09,-32.12844,-160.6441,-13.44371,139.23155,-14.01809,136.67619,-17.19793,18.80483
2.06E+09,-33.06148,-145.43887,-13.51693,135.42821,-13.9961,134.95586,-16.41567,18.20221
2.06E+09,-31.31991,-145.0161,-13.54045,132.4693,-13.9893,131.30672,-16.91827,21.80852
2.07E+09,-31.97724,-151.40869,-13.48325,130.5683,-13.88622,130.17058,-16.62941,15.97335
2.08E+09,-31.41983,-132.82437,-13.43702,127.35503,-14.00289,126.11288,-16.92581,18.048
2.08E+09,-32.22984,-131.98988,-13.5325,123.82841,-14.02839,125.81364,-16.73912,19.74434
2.09E+09,-33.13288,-141.08452,-13.35478,120.71902,-14.07042,120.6388,-16.79097,17.96466
2.09E+09,-33.54053,-133.96513,-13.52663,118.7851,-13.87969,117.56362,-16.4959,19.33892
2.10E+09,-32.97819,-121.58144,-13.41536,117.35817,-14.0347,113.72926,-16.75305,17.03697
2.11E+09,-30.66504,-128.00578,-13.44724,114.77965,-14.03997,113.43821,-17.19546,16.41278
2.11E+09,-31.53037,-125.7001,-13.63365,111.14579,-13.81009,109.3348,-17.32348,13.8461
2.12E+09,-30.08841,-125.2356,-13.3591,107.3996,-13.87576,108.27773,-16.81332,13.10626
2.12E+09,-31.35919,-123.05363,-13.6582,105.40238,-14.01843,104.69814,-17.32668,14.64955
2.13E+09,-31.32468,-117.28703,-13.7235,102.32947,-13.94704,102.59048,-17.50718,10.37111
2.14E+09,-27.92683,-130.93207,-13.6077,99.61231,-13.95557,98.59296,-17.58884,6.74057
2.14E+09,-28.35289,-130.99609,-13.6402,97.55594,-13.87144,96.42938,-17.08633,8.88339
2.15E+09,-27.02638,-129.93945,-13.63148,93.89086,-14.08659,92.44115,-16.504,7.65172
2.15E+09,-27.41937,-134.94087,-13.44346,91.89708,-13.831,91.22315,-16.56089,8.25442
2.16E+09,-27.39742,-124.14175,-13.50302,88.38488,-14.01401,86.94549,-16.91258,4.46162
2.17E+09,-26.8389,-126.93535,-13.46219,87.18015,-14.06486,85.48717,-16.99581,6.17637
2.17E+09,-26.15033,-130.25467,-13.55754,82.67725,-14.02751,81.57953,-16.92658,3.22357
2.18E+09,-27.63122,-121.10201,-13.59716,80.20971,-13.84471,77.57162,-17.0119,2.1328
2.18E+09,-25.30742,-129.75845,-13.42881,76.85694,-14.27468,75.80323,-16.6122,3.31153
2.19E+09,-25.74681,-127.70586,-13.45555,74.2188,-13.98427,72.62889,-17.02525,-1.66387
2.20E+09,-24.89386,-129.61531,-13.43955,71.80448,-14.00721,71.08796,-17.276,4.3415
2.20E+09,-25.44442,-132.68309,-13.54077,69.08989,-13.98933,67.48341,-16.3077,-2.00039
2.21E+09,-24.71461,-132.68654,-13.68066,67.63197,-14.10932,66.64507,-16.84362,-3.29016
2.21E+09,-24.8956,-135.9269,-13.55729,64.02684,-13.84201,62.6193,-16.63533,-7.36275
2.22E+09,-24.78569,-140.10919,-13.50137,60.48719,-14.06289,61.43507,-16.91944,-3.53104
2.23E+09,-24.93148,-142.63632,-13.35826,58.06199,-14.05302,56.95196,-16.53482,-3.88144
2.23E+09,-24.04912,-145.06352,-13.53468,54.80166,-14.03309,54.83367,-16.31715,-2.77943
2.24E+09,-24.5636,-147.55171,-13.75577,52.85889,-13.89533,51.78899,-16.95814,-3.39008
2.24E+09,-24.10393,-144.84811,-13.56233,49.633,-14.1983,49.19652,-16.94503,-6.79412
2.25E+09,-23.28103,-151.6461,-13.49053,47.00578,-13.83621,45.86013,-17.16867,-8.71021
2.26E+09,-23.86515,-148.91977,-13.76933,44.33118,-13.99803,44.16908,-16.94055,-10.90071
2.26E+09,-22.59095,-155.33963,-13.87036,41.49809,-14.18761,41.50706,-17.29325,-7.59453
2.27E+09,-22.73569,-156.62646,-13.55452,38.91486,-14.18857,38.20173,-17.10638,-12.46224
2.27E+09,-22.63871,-160.06317,-13.46872,36.75858,-14.23468,35.22879,-16.46544,-12.79226
2.28E+09,-22.69952,-157.98759,-13.57338,31.65701,-14.07473,31.74302,-17.10196,-14.43564
2.29E+09,-22.66791,-158.66109,-13.69551,31.46653,-14.06671,30.09548,-16.86388,-14.54442
2.29E+09,-22.74023,-162.5761,-13.50248,27.96731,-14.01664,26.16717,-16.35626,-18.03548
2.30E+09,-22.96718,-163.67935,-13.55153,26.07334,-14.02736,24.603,-16.70299,-16.35763
2.30E+09,-23.25289,-163.29514,-13.67507,22.24567,-13.89808,22.78184,-16.56707,-16.35654
2.31E+09,-23.02211,-169.02585,-13.58815,18.64962,-14.14808,18.44323,-16.97947,-13.74716
2.32E+09,-23.09326,-170.23192,-13.70145,16.31726,-14.05604,14.87326,-16.59453,-14.89441
2.32E+09,-22.65484,-173.38187,-13.71511,12.66225,-13.78931,13.31964,-16.59501,-17.15265
2.33E+09,-23.03635,-176.28932,-13.5948,11.42473,-14.04556,10.15032,-16.43982,-20.44396
2.33E+09,-23.14307,177.61613,-13.77792,9.31323,-14.07381,7.8298,-17.08778,-22.58657
2.34E+09,-22.92815,178.71643,-13.62373,6.33583,-14.27966,5.65714,-16.78532,-22.29975
2.35E+09,-23.01868,-178.55217,-13.80856,4.7536,-14.0535,1.31277,-16.9439,-22.13826
2.35E+09,-22.22364,172.81158,-13.79158,0.30751,-14.12468,-0.59103,-16.73695,-27.26844
2.36E+09,-22.527,172.01727,-13.574,-1.94253,-14.20847,-4.37339,-16.86132,-26.44863
2.36E+09,-22.14134,168.18765,-13.74465,-3.92539,-14.20841,-4.82667,-16.76424,-27.18298
2.37E+09,-22.65173,175.09418,-13.69121,-8.12517,-14.01587,-8.03839,-16.69247,-30.55489
2.38E+09,-22.78612,162.81992,-13.74119,-11.01023,-14.34538,-11.59265,-16.423,-25.87939
2.38E+09,-22.72763,172.70006,-13.58579,-12.81068,-14.19129,-14.73078,-16.47239,-27.16839
2.39E+09,-23.08224,167.1362,-13.87198,-16.14786,-14.06403,-16.7994,-16.70384,-28.02127
2.39E+09,-22.41197,169.05486,-13.76105,-17.76001,-14.1919,-19.60349,-17.19243,-30.25202
2.40E+09,-23.24514,167.68483,-13.80785,-21.40272,-14.23604,-19.81247,-17.02383,-31.68979
2.41E+09,-23.07113,167.02171,-13.6491,-23.58857,-14.12614,-24.88755,-16.59375,-34.94286
2.41E+09,-23.25073,160.90872,-13.75631,-26.36094,-14.37758,-26.1365,-17.07315,-34.58063
2.42E+09,-23.75794,161.30649,-13.62983,-28.65111,-14.01049,-31.9412,-17.11155,-37.25144
2.42E+09,-24.25719,154.54884,-13.76413,-32.54451,-14.08379,-31.71789,-17.03845,-39.88734
2.43E+09,-24.49513,156.32666,-13.76253,-33.31472,-14.17449,-35.48718,-16.45055,-40.96549
2.44E+09,-24.44297,153.59451,-13.72984,-36.70898,-14.27906,-37.12413,-16.63238,-42.98506
2.44E+09,-24.91078,148.63148,-13.70665,-40.52359,-13.9917,-41.7394,-16.26354,-39.49717
2.45E+09,-23.93881,145.09727,-13.99393,-43.34447,-14.08813,-42.84365,-15.87063,-44.02646
2.45E+09,-24.52023,144.92943,-13.82029,-46.06834,-14.0908,-46.94392,-16.29993,-40.59217
2.46E+09,-24.60267,142.9631,-13.91981,-49.42416,-14.03812,-50.09821,-16.25597,-40.85782
2.47E+09,-24.77971,146.54309,-13.69202,-51.7084,-14.19391,-50.81466,-17.07133,-42.5192
2.47E+09,-25.23891,139.96016,-13.68852,-54.17926,-14.50629,-54.5736,-17.02639,-41.62846
2.48E+09,-24.90816,137.75049,-13.72631,-57.08074,-14.10015,-57.08637,-17.01419,-43.4498
2.48E+09,-24.78609,135.79637,-13.74872,-59.29394,-14.2945,-59.15938,-17.26403,-46.3529
2.49E+09,-25.60234,143.92192,-13.57074,-61.01371,-14.22535,-63.7685,-17.09985,-48.19907
2.50E+09,-25.5436,143.90884,-13.85321,-65.9788,-14.15609,-65.03439,-16.46199,-51.81963
2.50E+09,-25.85398,140.1897,-13.6704,-67.15905,-13.92596,-67.57214,-16.6365,-51.00817
2.51E+09,-26.40847,144.37086,-13.67011,-70.6022,-14.08805,-70.84592,-16.57095,-53.39766
2.51E+09,-27.66541,142.87563,-13.75644,-73.08655,-14.24786,-74.59095,-16.77603,-51.36794
2.52E+09,-28.21569,142.6322,-13.76807,-76.19122,-14.4907,-77.75141,-15.95341,-50.2838
2.53E+09,-28.18854,145.86891,-13.84344,-79.37908,-14.51351,-79.35987,-16.77895,-54.36647
2.53E+09,-27.91142,144.4577,-14.05136,-82.80769,-14.27458,-82.68301,-16.2264,-54.85508
2.54E+09,-29.72377,140.42546,-13.83969,-82.92183,-14.07164,-85.15248,-16.55355,-56.30376
2.54E+09,-30.10957,144.05998,-14.00351,-86.45843,-14.2509,-86.89052,-17.03566,-55.28445
2.55E+09,-30.66466,150.62323,-13.6877,-90.98136,-14.13998,-91.07487,-17.2435,-52.90284
2.56E+09,-32.02487,144.29437,-13.82437,-93.04517,-14.06502,-92.61522,-17.02822,-56.59668
2.56E+09,-32.13894,122.53129,-13.76751,-94.21993,-13.83996,-94.53071,-17.17726,-60.33793
2.57E+09,-30.06402,144.10611,-13.9426,-98.83814,-14.24925,-98.73006,-16.89862,-65.93071
2.57E+09,-30.40035,151.24129,-13.80545,-101.70381,-14.02632,-102.53564,-17.11033,-65.81987
2.58E+09,-29.82198,153.24194,-13.90012,-103.63285,-14.41483,-104.61301,-15.97129,-64.06256
2.59E+09,-29.7775,166.14835,-14.02065,-106.86618,-14.3049,-108.39964,-16.31926,-66.16837
2.59E+09,-30.298,159.91217,-13.61066,-110.14249,-14.31657,-109.69144,-16.28452,-65.84113
2.60E+09,-29.9067,153.24666,-13.73398,-111.97804,-14.0985,-110.93998,-16.29647,-65.7481
2.60E+09,-27.41956,171.6498,-13.5894,-112.98701,-14.40309,-113.83879,-16.2527,-65.49576
2.61E+09,-29.73973,165.57491,-13.90889,-116.87466,-14.30684,-118.37347,-16.74894,-63.84694
2.62E+09,-30.1473,179.00601,-13.92012,-122.46262,-14.22392,-120.65736,-16.34705,-62.91907
2.62E+09,-29.36665,177.68777,-13.73342,-123.56019,-14.26729,-124.15669,-17.33502,-69.58871
2.63E+09,-29.52657,-168.96706,-13.92179,-124.82635,-14.23707,-125.98818,-16.84368,-69.03769
2.63E+09,-30.56287,-174.55721,-13.69331,-127.93898,-14.1914,-127.21818,-16.43622,-70.09785
2.64E+09,-26.81652,-173.52374,-14.06067,-130.6734,-14.02658,-131.80345,-16.67851,-71.81851
2.65E+09,-27.88887,-167.71117,-13.67727,-134.7226,-14.17123,-135.38078,-16.08119,-72.57867
2.65E+09,-26.53976,-173.20918,-13.90514,-137.12816,-14.25604,-137.68234,-16.68672,-71.73227
2.66E+09,-26.40837,-176.09889,-13.70161,-137.78658,-14.44224,-140.96698,-16.73827,-73.78381
2.66E+09,-26.34671,-178.27217,-13.77243,-144.36493,-14.32695,-143.5475,-16.12341,-74.1954
2.67E+09,-25.68813,-176.80786,-13.80697,-145.28156,-14.21934,-145.17937,-16.11078,-75.60886
2.68E+09,-25.30084,174.85664,-13.94225,-147.74696,-14.23616,-149.56441,-16.79191,-74.64227
2.68E+09,-23.94501,175.19943,-13.92329,-148.8701,-14.23391,-151.34367,-15.9723,-75.52569
2.69E+09,-23.93631,173.63855,-13.69518,-152.47514,-14.2846,-153.61794,-16.84142,-78.9246
2.69E+09,-23.4461,176.03934,-13.86916,-155.56143,-14.23075,-157.21585,-16.68,-78.97634
2.70E+09,-23.9107,169.41951,-13.90385,-158.5135,-14.02835,-161.68475,-16.58052,-76.85036
2.71E+09,-23.66342,168.4062,-13.91015,-159.76939,-14.2467,-163.15672,-16.15296,-80.16843
2.71E+09,-22.33714,164.79524,-13.76968,-164.07178,-14.57896,-165.32512,-16.06781,-85.38895
2.72E+09,-22.47125,165.61182,-13.87579,-166.18234,-14.59471,-167.77902,-16.37012,-82.98115
2.72E+09,-22.43815,168.81693,-14.07945,-170.48878,-14.39908,-173.54515,-16.38131,-84.83995
2.73E+09,-22.76025,165.33969,-14.06571,-172.80573,-14.22185,-172.965,-16.03734,-84.75279
2.74E+09,-22.51238,162.33403,-13.91114,-174.85393,-14.3232,-175.46295,-16.13623,-84.34106
2.74E+09,-22.92123,164.84851,-13.97135,-179.10204,-14.46123,179.24638,-16.01235,-82.98194
2.75E+09,-22.25429,164.90076,-14.06162,179.24841,-14.43315,178.2204,-16.35111,-82.44273
2.75E+09,-22.2377,163.10487,-14.04522,176.56953,-14.50983,176.76001,-16.11253,-84.58388
2.76E+09,-21.61266,159.31259,-13.84306,173.7851,-14.33978,173.72284,-16.52843,-86.64887
2.77E+09,-21.33519,158.74059,-14.21023,171.32782,-14.30073,170.42001,-16.47767,-86.6395
2.77E+09,-21.61459,148.32365,-14.00415,168.98579,-14.32732,167.64491,-16.36269,-88.96104
2.78E+09,-21.36105,150.72894,-13.95526,166.60101,-14.26045,164.086,-16.29442,-90.04132
2.78E+09,-20.49083,148.06879,-13.8929,162.29721,-14.76591,161.50972,-16.54485,-93.75566
2.79E+09,-21.57787,146.39372,-13.7935,160.79773,-14.54254,160.76004,-16.89311,-94.4935
2.80E+09,-20.53954,147.4335,-14.06971,158.00534,-14.39562,156.47702,-16.3315,-96.39335
2.80E+09,-20.04021,140.87141,-14.01319,153.63995,-14.38903,154.01852,-15.91498,-96.28394
2.81E+09,-20.28487,144.67328,-13.96542,152.31682,-14.26857,151.27972,-16.04684,-95.27983
2.81E+09,-20.64181,139.31049,-14.03175,147.26683,-14.15277,148.03802,-15.70683,-96.34323
2.82E+09,-20.1072,135.32945,-14.07907,146.203,-14.31404,144.26947,-15.88812,-94.06205
2.83E+09,-20.27573,136.62291,-14.26139,144.64607,-14.63664,143.09012,-15.90828,-100.05148
2.83E+09,-20.14869,135.99519,-13.99047,141.12401,-14.58518,140.33914,-16.36884,-98.41384
2.84E+09,-20.49201,131.35205,-14.08447,137.7083,-14.43982,137.40398,-16.07299,-96.80386
2.84E+09,-20.37674,132.47388,-14.1398,135.84851,-14.23654,134.34866,-16.21949,-102.17036
2.85E+09,-20.21005,131.92509,-13.90805,133.28627,-14.25683,133.62315,-16.07214,-99.74623
2.86E+09,-20.35568,129.86285,-13.97223,129.65459,-14.33711,130.56912,-15.79495,-105.49049
2.86E+09,-20.13862,124.69379,-13.99059,127.62371,-14.53047,128.06973,-16.05092,-103.45757
2.87E+09,-19.87762,125.03754,-13.93,125.3209,-14.55523,123.95839,-15.77581,-105.00261
2.87E+09,-20.46077,120.07026,-13.79317,121.60426,-14.67172,120.12495,-15.7132,-108.21993
2.88E+09,-20.11354,117.81084,-14.03923,118.58781,-14.64785,116.70292,-15.88383,-106.48235
2.89E+09,-19.86248,118.83173,-14.12597,116.97276,-14.49477,115.75272,-15.42949,-107.08322
2.89E+09,-20.97273,111.32164,-13.96354,113.35616,-14.49263,113.9533,-16.50197,-107.25781
2.90E+09,-20.28299,111.07111,-13.82151,110.03026,-14.67293,110.65344,-16.31897,-106.90999
2.90E+09,-19.8635,111.21352,-14.06728,107.80121,-14.55233,108.22544,-15.58905,-108.60839
2.91E+09,-20.29763,107.73478,-14.05167,105.68799,-14.49566,105.69319,-16.22048,-112.1225
2.92E+09,-20.07296,104.53188,-14.11562,102.64916,-14.43983,102.17036,-15.97468,-112.40186
2.92E+09,-20.05643,104.23721,-14.08996,100.46393,-14.60354,100.74211,-16.63213,-113.80904
2.93E+09,-19.90308,98.98365,-13.78254,97.07074,-14.49274,97.7265,-16.27633,-116.79436
2.93E+09,-20.10031,101.45504,-14.02488,94.49352,-14.44228,93.2998,-15.84266,-118.47306
2.94E+09,-21.40273,94.53877,-14.19546,90.85875,-14.38371,88.89117,-16.38346,-117.91803
2.95E+09,-21.35668,92.70859,-13.86754,90.32498,-14.49419,88.64424,-15.92623,-116.94042
2.95E+09,-21.39287,93.59091,-13.8951,87.17623,-14.60416,83.27177,-15.73661,-118.76739
2.96E+09,-21.29282,93.54916,-14.15864,83.36756,-14.4661,83.35691,-16.46779,-116.12805
2.96E+09,-21.89311,89.26897,-13.85318,81.69408,-14.80013,78.45488,-16.01174,-118.14507
2.97E+09,-21.89605,87.61561,-14.1995,79.0564,-14.5404,77.48423,-15.72635,-118.27286
2.98E+09,-22.31535,83.90899,-13.91088,75.17913,-14.48503,74.38899,-15.55892,-118.38716
2.98E+09,-21.36589,86.50704,-13.96323,73.46053,-14.37062,71.33099,-16.04366,-123.32299
2.99E+09,-22.46348,79.4497,-13.93279,70.77796,-14.55776,70.32351,-16.40868,-121.32695
2.99E+09,-22.90715,78.69666,-14.06431,67.68317,-14.32585,65.10943,-16.63032,-123.23267
3.00E+09,-22.54389,73.48933,-14.15215,64.00342,-14.47236,64.0917,-16.46847,-124.05463
3.01E+09,-23.62131,74.07972,-14.11337,62.4207,-14.79483,60.95542,-16.00437,-125.9984
3.01E+09,-23.31988,73.55274,-13.85162,58.40011,-14.53723,58.49347,-16.74311,-126.77983
3.02E+09,-23.21886,71.9412,-13.86399,55.35524,-14.56961,54.7135,-15.91241,-129.1026
3.02E+09,-23.89717,64.20976,-13.92849,52.48929,-14.47977,51.69216,-16.37737,-130.21992
3.03E+09,-23.99943,74.62113,-13.9799,51.22492,-14.33116,51.11369,-16.58475,-130.33446
3.03E+09,-24.98554,69.93028,-14.14185,48.19313,-14.90636,46.14619,-16.49489,-132.68225
3.04E+09,-25.39253,71.60843,-14.17806,45.83293,-14.61708,44.2696,-15.73479,-134.42595
3.05E+09,-25.70288,70.71635,-14.1836,42.35867,-14.47353,41.66091,-16.53539,-132.37033
3.05E+09,-25.96114,67.99088,-14.11315,40.21904,-14.64458,36.96102,-16.06848,-134.42514
3.06E+09,-26.2244,73.17134,-13.95904,36.79269,-14.66162,36.69353,-16.27099,-137.25214
3.06E+09,-27.66301,68.646,-14.00465,33.16238,-14.4679,34.92481,-16.2923,-138.77502
