Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
3.51E+08,-25.39104,-92.98084,-12.8948,-161.32222,-12.97963,-161.27202,-18.79738,-54.41906
3.57E+08,-25.8011,-95.52489,-12.78049,-163.71169,-13.08792,-164.68692,-18.72505,-60.40934
3.63E+08,-26.11412,-108.23029,-12.88163,-166.53429,-12.88485,-166.26926,-18.64466,-53.53325
3.69E+08,-26.67802,-110.46239,-12.97867,-169.25868,-12.66537,-170.21141,-18.4479,-58.99917
3.75E+08,-26.158,-119.78004,-12.78197,-172.75389,-13.00113,-173.45311,-18.83795,-57.34232
3.81E+08,-27.2948,-119.84444,-12.74856,-175.35268,-13.03011,-176.07309,-18.53508,-59.11821
3.87E+08,-26.25037,-127.95291,-12.72732,-177.40321,-13.04234,-178.02788,-18.48321,-61.06718
3.93E+08,-25.57497,-126.40911,-12.93876,178.99416,-12.90306,178.42683,-17.9881,-62.32309
3.99E+08,-25.07653,-137.17401,-12.79097,178.53845,-13.20987,174.76689,-19.03883,-59.21449
4.05E+08,-25.84122,-127.66724,-13.1927,173.13141,-12.91606,173.54698,-18.66577,-61.72636
4.11E+08,-26.16802,-140.79411,-12.8172,168.87755,-12.78855,170.63708,-18.4121,-64.23388
4.17E+08,-26.01105,-143.90102,-12.99358,168.47214,-13.13639,165.54103,-18.55204,-69.18824
4.23E+08,-24.62631,-149.36072,-12.94924,162.90198,-12.89137,164.19629,-18.31955,-69.87783
4.29E+08,-25.41391,-157.24406,-13.05016,163.18777,-12.58183,160.00175,-18.08918,-67.00194
4.35E+08,-25.42393,-153.25014,-13.32081,158.60707,-13.02795,160.2827,-18.63693,-68.10173
4.41E+08,-26.79057,-156.3976,-13.16212,156.30627,-13.07156,154.5307,-17.69138,-69.49804
4.47E+08,-26.84855,-179.28969,-12.90007,154.97627,-12.98637,152.39365,-17.78418,-71.14388
4.53E+08,-27.49247,-170.19185,-13.02494,150.59442,-12.87476,149.59731,-17.53504,-70.97767
